,Unnamed: 0,Book Id,Category
2075,2075,61439040,British And Irish Drama (Dramatic Works By One Author)
2076,2076,61439040,British And Irish Fiction (Fictional Works By One Author)
2079,2079,61439040,Ciencia-Ficción
2080,2080,61439040,Classic Literature
2081,2081,61439040,Classics
2082,2082,61439040,Comic Books
2084,2084,61439040,Correspondence
2088,2088,61439040,Drama
2089,2089,61439040,Dystopian
2091,2091,61439040,Dystopias
2094,2094,61439040,English Fiction
2095,2095,61439040,English Literature
2098,2098,61439040,English Science Fiction
2099,2099,61439040,Essays
2101,2101,61439040,Fantasy
2108,2108,61439040,Historical
2110,2110,61439040,History And Criticism
2111,2111,61439040,Husbands
2115,2115,61439040,Journalists
2118,2118,61439040,Literary
2119,2119,61439040,Literature
2120,2120,61439040,London (England)
2122,2122,61439040,Man-Woman Relationships
2123,2123,61439040,Manuscripts
2129,2129,61439040,Nouvelles
2131,2131,61439040,Novela Inglesa
